lesion_id,status,n_comp,n_specks,largest_frac,raw_area,lcc_area,area_ratio,box_iou
Mass-Training_P_00018_RIGHT_CC_1,ok,11,10,0.9996995305164319,80864,80864,1.0,1.0
Mass-Training_P_00018_RIGHT_MLO_1,ok,8,7,0.999721059972106,63500,63500,1.0,1.0
Mass-Training_P_00001_LEFT_MLO_1,ok,6,5,0.9998447108516056,54432,54432,1.0,1.0
Mass-Training_P_00009_RIGHT_CC_1,ok,7,5,0.9991907459418289,36200,36200,1.0,1.0
Mass-Training_P_00009_RIGHT_MLO_1,ok,14,13,0.9994537571267624,41580,41400,1.0043478260869565,0.9956709956709957
Mass-Training_P_00004_LEFT_MLO_1,ok,21,20,0.9995976529756916,147834,147834,1.0,1.0
Mass-Training_P_00001_LEFT_CC_1,ok,24,23,0.9997262796426705,185725,185725,1.0,1.0
Mass-Training_P_00004_LEFT_CC_1,ok,30,29,0.9996204397602592,163158,163158,1.0,1.0
Mass-Training_P_00004_RIGHT_MLO_1,ok,12,11,0.9998256282830925,152575,152575,1.0,1.0
Mass-Training_P_00021_RIGHT_MLO_1,ok,29,28,0.999207083388397,68204,67445,1.0112536140558974,0.9888716204328192
Mass-Training_P_00015_LEFT_MLO_1,ok,16,15,0.9994566291246789,57340,57340,1.0,1.0
Mass-Training_P_00021_RIGHT_CC_1,ok,3,2,0.999881698805158,22330,22330,1.0,1.0
Mass-Training_P_00021_LEFT_CC_1,ok,18,17,0.99929900242653,62178,62178,1.0,1.0
Mass-Training_P_00021_LEFT_MLO_1,ok,9,8,0.9996133148583766,50955,50955,1.0,1.0
Mass-Training_P_00039_RIGHT_MLO_1,ok,14,13,0.9998913895159851,189660,189660,1.0,1.0
Mass-Training_P_00039_RIGHT_CC_1,ok,7,6,0.999932857967745,214968,214968,1.0,1.0
Mass-Training_P_00023_RIGHT_CC_1,ok,4,3,0.9999045437189767,49950,49950,1.0,1.0
Mass-Training_P_00044_RIGHT_CC_1,ok,2,1,0.9999727416453142,46161,46161,1.0,1.0
Mass-Training_P_00026_LEFT_MLO_1,ok,11,10,0.9996659682366159,47470,47470,1.0,1.0
Mass-Training_P_00026_LEFT_CC_1,ok,12,11,0.9993637185626737,48279,48048,1.0048076923076923,0.9952153110047847
