tag,status,pipeline,arch,kind,crop_source,margin,aug,lr,overlay,ablation,seed,variant,frozen_val_auc,val_auc,epoch,epochs,train_auc
baseline_crop_m020,current,crop,baseline,scratch,oracle,0.20,default,0.001,,,28,,,0.645,13,23,0.5872
baseline_crop_m020_cuda0917,current,crop,baseline,scratch,oracle,0.20,default,0.001,,,28,cuda0917,,0.6642,45,70,0.6608
baseline_crop_m020_cuda0917_s1,current,crop,baseline,scratch,oracle,0.20,default,0.001,,,1,cuda0917,,0.6728,100,100,0.7013
baseline_crop_m020_cuda0917_s2,current,crop,baseline,scratch,oracle,0.20,default,0.001,,,2,cuda0917,,0.6435,14,39,0.6161
densenet121_crop_m020,current,crop,densenet121,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,,0.8317,0.8478,39,49,0.8252
densenet121_crop_m020_cuda0917,current,crop,densenet121,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,cuda0917,0.8351,0.847,95,100,0.8416
densenet121_crop_m020_cuda0917_s1,current,crop,densenet121,transfer,oracle,0.20,default,1e-05 (fine-tune),,,1,cuda0917,0.8358,0.8487,41,66,0.8385
densenet121_crop_m020_cuda0917_s2,current,crop,densenet121,transfer,oracle,0.20,default,1e-05 (fine-tune),,,2,cuda0917,0.8321,0.8435,79,100,0.8264
densenet121_crop_rung3_unet_bundle,current,crop,densenet121,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,ladder rung 3; bundle,0.8113,0.8065,1,11,0.7526
densenet121_crop_rung3_unet_bundle_cuda,current,crop,densenet121,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,ladder rung 3; bundle_cuda,0.8154,0.8087,3,28,0.7557
efficientnet_crop_m020,current,crop,efficientnet,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,,0.8524,0.8503,3,13,0.7729
efficientnet_crop_m020_cuda0917,current,crop,efficientnet,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,cuda0917,0.8516,0.8579,42,67,0.8457
efficientnet_crop_m020_cuda0917_s1,current,crop,efficientnet,transfer,oracle,0.20,default,1e-05 (fine-tune),,,1,cuda0917,0.8422,0.8582,37,62,0.8231
efficientnet_crop_m020_cuda0917_s2,current,crop,efficientnet,transfer,oracle,0.20,default,1e-05 (fine-tune),,,2,cuda0917,0.8475,0.8496,3,28,0.8177
efficientnet_crop_rung3_unet_bundle,current,crop,efficientnet,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,ladder rung 3; bundle,0.8225,0.8196,3,13,0.7478
efficientnet_crop_rung3_unet_bundle_cuda,current,crop,efficientnet,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,ladder rung 3; bundle_cuda,0.8258,0.8329,18,43,0.7713
regularised_crop_m020,current,crop,regularised,scratch,oracle,0.20,default,0.0005,,,28,,,0.7976,99,100,0.8648
regularised_crop_m020_cuda0917,current,crop,regularised,scratch,oracle,0.20,default,0.0005,,,28,cuda0917,,0.8273,97,100,0.8313
regularised_crop_m020_cuda0917_s1,current,crop,regularised,scratch,oracle,0.20,default,0.0005,,,1,cuda0917,,0.759,92,100,0.8431
regularised_crop_m020_cuda0917_s2,current,crop,regularised,scratch,oracle,0.20,default,0.0005,,,2,cuda0917,,0.8253,100,100,0.842
regularised_crop_m020_kg,current,crop,regularised,scratch,oracle,0.20,default,0.0005,,,28,kg,,0.7899,77,92,0.7762
regularised_crop_m020_lr2e-3_kg,current,crop,regularised,scratch,oracle,0.20,default,2e-3,,,28,kg,,0.6656,19,34,0.6316
regularised_crop_m020_no_aug_kg,current,crop,regularised,scratch,oracle,0.20,off,0.0005,,aug,28,kg,,0.6785,14,29,0.9432
regularised_crop_m020_no_dropout_kg,current,crop,regularised,scratch,oracle,0.20,default,0.0005,,dropout,28,kg,,0.7045,27,42,0.7221
regularised_crop_m020_no_l2_kg,current,crop,regularised,scratch,oracle,0.20,default,0.0005,,l2,28,kg,,0.7974,120,135,0.8572
regularised_crop_m020_no_se_kg,current,crop,regularised,scratch,oracle,0.20,default,0.0005,,se,28,kg,,0.7877,77,92,0.8054
regularised_crop_m020_overlay_lrmatched_kg,current,crop,regularised,scratch,oracle,0.20,default,0.0005,yes,,28,lrmatched_kg,,0.67,16,31,0.616
resnet50_crop_m020,current,crop,resnet50,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,,0.7719,0.8054,26,36,0.7787
resnet50_crop_m020_cuda0917,current,crop,resnet50,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,cuda0917,0.7717,0.8042,57,82,0.8401
resnet50_crop_m020_cuda0917_s1,current,crop,resnet50,transfer,oracle,0.20,default,1e-05 (fine-tune),,,1,cuda0917,0.7838,0.7955,29,54,0.7985
resnet50_crop_m020_cuda0917_s2,current,crop,resnet50,transfer,oracle,0.20,default,1e-05 (fine-tune),,,2,cuda0917,0.7721,0.7907,16,41,0.7818
resnet50_crop_rung3_unet_bundle,current,crop,resnet50,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,ladder rung 3; bundle,0.7284,0.7651,8,18,0.6336
resnet50_crop_rung3_unet_bundle_cuda,current,crop,resnet50,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,ladder rung 3; bundle_cuda,0.7263,0.7671,38,63,0.7626
scaled_crop_m020,current,crop,scaled,scratch,oracle,0.20,default,0.001,,,28,,,0.7172,79,100,0.7433
scaled_crop_m020_cuda0917,current,crop,scaled,scratch,oracle,0.20,default,0.001,,,28,cuda0917,,0.6885,73,100,0.9991
scaled_crop_m020_cuda0917_s1,current,crop,scaled,scratch,oracle,0.20,default,0.001,,,1,cuda0917,,0.695,97,100,0.9969
scaled_crop_m020_cuda0917_s2,current,crop,scaled,scratch,oracle,0.20,default,0.001,,,2,cuda0917,,0.6898,37,100,0.7797
scaled_crop_m020_lr5e-4,current,crop,scaled,scratch,oracle,0.20,default,5e-4,,,28,,,0.6907,94,100,0.9991
vgg16_crop_m000,current,crop,vgg16,transfer,oracle,0.00,default,1e-05 (fine-tune),,,28,,0.794,0.8446,20,30,0.8341
vgg16_crop_m010,current,crop,vgg16,transfer,oracle,0.10,default,1e-05 (fine-tune),,,28,,0.8218,0.8523,3,13,0.7833
vgg16_crop_m020,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,,0.8193,0.8837,58,68,0.9684
vgg16_crop_m020_448_cuda,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,448_cuda,0.7344,0.8153,32,57,0.9063
vgg16_crop_m020_cuda,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,cuda,0.8153,0.865,9,19,0.8299
vgg16_crop_m020_cuda0917,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,cuda0917,0.8251,0.8769,45,70,0.9453
vgg16_crop_m020_cuda0917_s1,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,1,cuda0917,0.824,0.8784,63,88,0.9561
vgg16_crop_m020_cuda0917_s2,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,2,cuda0917,0.8266,0.8777,30,55,0.9245
vgg16_crop_m020_overlay,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),yes,,28,,0.8181,0.8656,25,35,0.8842
vgg16_crop_m020_p25_cuda,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,p25_cuda,0.8231,0.8753,46,71,0.9446
vgg16_crop_m020_p25_s1_cuda,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,p25_s1_cuda,0.8243,0.8744,41,66,0.9243
vgg16_crop_m020_p25_s2_cuda,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,p25_s2_cuda,0.8279,0.8739,36,61,0.9265
vgg16_crop_m020_s1_cuda,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,s1_cuda,0.8215,0.8614,15,25,0.8628
vgg16_crop_m020_s2_cuda,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,s2_cuda,0.8293,0.8656,17,27,0.8703
vgg16_crop_m040,current,crop,vgg16,transfer,oracle,0.40,default,1e-05 (fine-tune),,,28,,0.7885,0.8711,24,34,0.9029
vgg16_crop_m080,current,crop,vgg16,transfer,oracle,0.80,default,1e-05 (fine-tune),,,28,,0.7958,0.8568,19,29,0.8839
vgg16_crop_rung1_oracle,current,crop,vgg16,transfer,oracle,0.00,default,1e-05 (fine-tune),,,28,ladder rung 1,0.789,0.845,15,25,0.823
vgg16_crop_rung1_oracle_cuda,current,crop,vgg16,transfer,oracle,0.00,default,1e-05 (fine-tune),,,28,ladder rung 1; cuda,0.7991,0.8399,18,43,0.85
vgg16_crop_rung1_oracle_cuda0917,current,crop,vgg16,transfer,oracle,0.00,default,1e-05 (fine-tune),,,28,ladder rung 1; cuda0917,0.7967,0.8441,33,58,0.8795
vgg16_crop_rung1_oracle_cuda0917_s1,current,crop,vgg16,transfer,oracle,0.00,default,1e-05 (fine-tune),,,1,ladder rung 1; cuda0917,0.7922,0.8405,11,36,0.8157
vgg16_crop_rung1_oracle_cuda0917_s2,current,crop,vgg16,transfer,oracle,0.00,default,1e-05 (fine-tune),,,2,ladder rung 1; cuda0917,0.8061,0.8402,18,43,0.8294
vgg16_crop_rung2_oracle,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,ladder rung 2,0.8303,0.8648,21,31,0.8923
vgg16_crop_rung2_oracle_cuda,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,ladder rung 2; cuda,0.843,0.8861,56,81,0.9513
vgg16_crop_rung2_oracle_cuda0917,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,ladder rung 2; cuda0917,0.8407,0.8747,57,82,0.947
vgg16_crop_rung2_oracle_cuda0917_s1,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,1,ladder rung 2; cuda0917,0.831,0.8689,33,58,0.9058
vgg16_crop_rung2_oracle_cuda0917_s2,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,2,ladder rung 2; cuda0917,0.8328,0.8713,34,59,0.9247
vgg16_crop_rung2_oracle_cuda0917_s3,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,3,ladder rung 2; cuda0917,0.8315,0.8791,47,72,0.9413
vgg16_crop_rung2_oracle_cuda0917_s4,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,4,ladder rung 2; cuda0917,0.8315,0.8733,46,71,0.9411
vgg16_crop_rung2_oracle_s1_cuda,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,ladder rung 2; s1_cuda,0.8319,0.8672,20,45,0.8874
vgg16_crop_rung2_oracle_s2_cuda,current,crop,vgg16,transfer,oracle,0.20,default,1e-05 (fine-tune),,,28,ladder rung 2; s2_cuda,0.8272,0.8662,63,88,0.9495
vgg16_crop_rung3_unet_bundle,current,crop,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,ladder rung 3; bundle,0.7866,0.8166,21,31,0.8485
vgg16_crop_rung3_unet_bundle_cuda,current,crop,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,ladder rung 3; bundle_cuda,0.7924,0.8144,19,44,0.8643
vgg16_crop_rung3_unet_bundle_cuda0917,current,crop,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,ladder rung 3; bundle_cuda0917,0.7885,0.8119,7,32,0.8074
vgg16_crop_rung3_unet_bundle_cuda0917_s1,current,crop,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,1,ladder rung 3; bundle_cuda0917,0.7931,0.8175,9,34,0.823
vgg16_crop_rung3_unet_bundle_cuda0917_s2,current,crop,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,2,ladder rung 3; bundle_cuda0917,0.7838,0.8135,8,33,0.8102
vgg16_crop_rung3_unet_bundle_s1,current,crop,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,1,ladder rung 3; bundle,0.784,0.8123,7,17,0.7623
vgg16_crop_rung3_unet_bundle_s1_cuda,current,crop,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,ladder rung 3; bundle_s1_cuda,0.7927,0.8178,14,39,0.8459
vgg16_crop_rung3_unet_bundle_s2,current,crop,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,2,ladder rung 3; bundle,0.794,0.8196,15,25,0.8087
vgg16_crop_rung3_unet_bundle_s2_cuda,current,crop,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,ladder rung 3; bundle_s2_cuda,0.7853,0.8098,13,38,0.8542
vgg16_crop_rung3_unet_promoted,current,crop,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,ladder rung 3; promoted,0.8368,0.8665,44,69,0.9321
vgg16_crop_rung3_unet_promoted_cuda0917,current,crop,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,ladder rung 3; promoted_cuda0917,0.8375,0.865,19,44,0.8892
vgg16_crop_rung3_unet_promoted_cuda0917_s1,current,crop,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,1,ladder rung 3; promoted_cuda0917,0.8368,0.8628,28,53,0.9098
vgg16_crop_rung3_unet_promoted_cuda0917_s2,current,crop,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,2,ladder rung 3; promoted_cuda0917,0.8341,0.8689,25,50,0.9096
vgg16_crop_rung3_unet_promoted_s1,current,crop,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,1,ladder rung 3; promoted,0.8382,0.8592,19,44,0.9042
vgg16_crop_rung3_unet_promoted_s2,current,crop,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,2,ladder rung 3; promoted,0.8408,0.8572,6,31,0.8524
vgg16_crop_rung4_cam,current,crop,vgg16,transfer,cam,0.20,default,1e-05 (fine-tune),,,28,ladder rung 4,0.725,0.7225,4,14,0.8464
vgg16_crop_rung4_cam_cuda,current,crop,vgg16,transfer,cam,0.20,default,1e-05 (fine-tune),,,28,ladder rung 4; cuda,0.7085,0.7252,6,31,0.8558
vgg16_crop_rung4_cam_cuda0917,current,crop,vgg16,transfer,cam,0.20,default,1e-05 (fine-tune),,,28,ladder rung 4; cuda0917,0.7164,0.7246,38,63,0.9226
vgg16_crop_rung4_cam_cuda0917_s1,current,crop,vgg16,transfer,cam,0.20,default,1e-05 (fine-tune),,,1,ladder rung 4; cuda0917,0.7043,0.7237,25,50,0.9087
vgg16_crop_rung4_cam_cuda0917_s2,current,crop,vgg16,transfer,cam,0.20,default,1e-05 (fine-tune),,,2,ladder rung 4; cuda0917,0.7158,0.7249,10,35,0.8773
vgg16_crop_rung5_jitter_bundle,current,crop,vgg16,transfer,jitter,0.20,default,1e-05 (fine-tune),,,28,ladder rung 5; bundle,0.6879,0.7553,10,20,0.7685
vgg16_crop_rung5_jitter_bundle_cuda,current,crop,vgg16,transfer,jitter,0.20,default,1e-05 (fine-tune),,,28,ladder rung 5; bundle_cuda,0.7094,0.7358,34,59,0.8909
vgg16_crop_rung5_jitter_bundle_s1,current,crop,vgg16,transfer,jitter,0.20,default,1e-05 (fine-tune),,,1,ladder rung 5; bundle,0.7004,0.7522,13,23,0.8056
vgg16_crop_rung5_jitter_bundle_s2,current,crop,vgg16,transfer,jitter,0.20,default,1e-05 (fine-tune),,,2,ladder rung 5; bundle,0.7056,0.7619,15,25,0.8017
vgg16_crop_rung5_jitter_promoted_cuda0917,current,crop,vgg16,transfer,jitter,0.20,default,1e-05 (fine-tune),,,28,ladder rung 5; promoted_cuda0917,0.7084,0.7619,15,40,0.8388
vgg16_crop_rung5_jitter_promoted_cuda0917_s1,current,crop,vgg16,transfer,jitter,0.20,default,1e-05 (fine-tune),,,1,ladder rung 5; promoted_cuda0917,0.7098,0.7657,37,62,0.8927
