split,lesion_id,image,n_lesions_on_image,status,k3_rank,k3_detected,k3_pred_y0,k3_pred_y1,k3_pred_x0,k3_pred_x1,box_iou_k3,cand1_y0,cand1_y1,cand1_x0,cand1_x1,cand1_sum,cand1_area,cand2_y0,cand2_y1,cand2_x0,cand2_x1,cand2_sum,cand2_area,cand3_y0,cand3_y1,cand3_x0,cand3_x1,cand3_sum,cand3_area
train,Mass-Training_P_00001_LEFT_CC_1,Mass-Training_P_00001_LEFT_CC,1,ok,1,True,2399.0,2835.0,247.0,646.0,0.7932627003531649,2399,2835,247,646,3515.3659683465958,4022,,,,,,,,,,,,
train,Mass-Training_P_00001_LEFT_MLO_1,Mass-Training_P_00001_LEFT_MLO,1,ok,1,True,2953.0,3211.0,230.0,492.0,0.6906906906906907,2953,3211,230,492,1613.9772433042526,1855,1036.0,1148.0,314.0,436.0,358.5174483060837,487.0,,,,,,
train,Mass-Training_P_00004_LEFT_CC_1,Mass-Training_P_00004_LEFT_CC,1,ok,1,True,3502.0,3904.0,1416.0,1786.0,0.9354263289332858,3502,3904,1416,1786,2292.7306737303734,3830,,,,,,,,,,,,
train,Mass-Training_P_00004_LEFT_MLO_1,Mass-Training_P_00004_LEFT_MLO,1,ok,1,True,3078.0,3459.0,1662.0,2011.0,0.8461538461538461,3078,3459,1662,2011,2592.035098642111,3208,,,,,,,,,,,,
train,Mass-Training_P_00004_RIGHT_MLO_1,Mass-Training_P_00004_RIGHT_MLO,1,ok,1,True,3813.0,4161.0,708.0,1142.0,0.8790035587188612,3813,4161,708,1142,3128.629919797182,3657,,,,,,,,,,,,
train,Mass-Training_P_00018_RIGHT_CC_1,Mass-Training_P_00018_RIGHT_CC,1,ok,1,True,1397.0,1650.0,1908.0,2194.0,0.9358090185676392,1397,1650,1908,2194,2294.714119940996,2442,,,,,,,,,,,,
train,Mass-Training_P_00018_RIGHT_MLO_1,Mass-Training_P_00018_RIGHT_MLO,1,ok,1,True,2136.0,2405.0,1503.0,1749.0,0.78125,2136,2405,1503,1749,1855.0862292945385,2130,,,,,,,,,,,,
train,Mass-Training_P_00021_LEFT_CC_1,Mass-Training_P_00021_LEFT_CC,1,ok,1,True,1190.0,1403.0,900.0,1123.0,0.823404255319149,1190,1403,900,1123,1050.2556530833244,1200,,,,,,,,,,,,
train,Mass-Training_P_00021_LEFT_MLO_1,Mass-Training_P_00021_LEFT_MLO,1,ok,1,True,2128.0,2334.0,1462.0,1684.0,0.9361702127659575,2128,2334,1462,1684,1095.8127257227898,1261,,,,,,,,,,,,
train,Mass-Training_P_00021_RIGHT_CC_1,Mass-Training_P_00021_RIGHT_CC,1,ok,1,True,2184.0,2314.0,1650.0,1795.0,0.8142548596112311,2184,2314,1650,1795,613.525826305151,643,,,,,,,,,,,,
train,Mass-Training_P_00021_RIGHT_MLO_1,Mass-Training_P_00021_RIGHT_MLO,1,ok,1,True,1924.0,2199.0,1088.0,1305.0,0.9621348719798053,1924,2199,1088,1305,1546.7088021934032,1937,,,,,,,,,,,,
train,Mass-Training_P_00026_LEFT_CC_1,Mass-Training_P_00026_LEFT_CC,1,ok,1,True,3746.0,3955.0,2155.0,2338.0,0.8544642857142857,3746,3955,2155,2338,534.0355099141598,630,,,,,,,,,,,,
train,Mass-Training_P_00026_LEFT_MLO_1,Mass-Training_P_00026_LEFT_MLO,1,ok,1,True,4188.0,4374.0,1964.0,2203.0,0.8129803586678053,4188,4374,1964,2203,733.6046706140041,801,,,,,,,,,,,,
train,Mass-Training_P_00034_RIGHT_CC_1,Mass-Training_P_00034_RIGHT_CC,1,ok,1,True,1247.0,1739.0,769.0,1216.0,0.7224347826086956,1247,1739,769,1216,2961.628755480051,3700,,,,,,,,,,,,
train,Mass-Training_P_00034_RIGHT_MLO_1,Mass-Training_P_00034_RIGHT_MLO,1,ok,1,True,2040.0,2382.0,1818.0,2114.0,0.7776669990029911,2040,2382,1818,2114,593.034679621458,1410,,,,,,,,,,,,
train,Mass-Training_P_00039_RIGHT_CC_1,Mass-Training_P_00039_RIGHT_CC,1,ok,1,True,3122.0,3615.0,1103.0,1554.0,0.9019120458891013,3122,3615,1103,1554,6450.690414488316,7045,930.0,1080.0,1882.0,2066.0,354.4901875257492,814.0,,,,,,
train,Mass-Training_P_00039_RIGHT_MLO_1,Mass-Training_P_00039_RIGHT_MLO,1,ok,1,True,3560.0,3996.0,1538.0,2041.0,0.832063395306309,3560,3996,1538,2041,5705.292104512453,6509,839.0,978.0,2664.0,2755.0,246.87791422009468,435.0,,,,,,
train,Mass-Training_P_00044_RIGHT_CC_1,Mass-Training_P_00044_RIGHT_CC,4,ok,3,True,1589.0,1830.0,1018.0,1233.0,0.8571428571428571,3289,3715,2111,2552,5210.125740647316,5635,2131.0,2472.0,1078.0,1489.0,2285.3752615451813,3588.0,1589.0,1830.0,1018.0,1233.0,1181.3920693993568,1538.0
train,Mass-Training_P_00044_RIGHT_CC_2,Mass-Training_P_00044_RIGHT_CC,4,ok,2,True,2131.0,2472.0,1078.0,1489.0,0.6143657666836475,3289,3715,2111,2552,5210.125740647316,5635,2131.0,2472.0,1078.0,1489.0,2285.3752615451813,3588.0,1589.0,1830.0,1018.0,1233.0,1181.3920693993568,1538.0
train,Mass-Training_P_00044_RIGHT_CC_3,Mass-Training_P_00044_RIGHT_CC,4,ok,0,False,,,,,0.0,3289,3715,2111,2552,5210.125740647316,5635,2131.0,2472.0,1078.0,1489.0,2285.3752615451813,3588.0,1589.0,1830.0,1018.0,1233.0,1181.3920693993568,1538.0
train,Mass-Training_P_00044_RIGHT_CC_4,Mass-Training_P_00044_RIGHT_CC,4,ok,1,True,3289.0,3715.0,2111.0,2552.0,0.9225798112963681,3289,3715,2111,2552,5210.125740647316,5635,2131.0,2472.0,1078.0,1489.0,2285.3752615451813,3588.0,1589.0,1830.0,1018.0,1233.0,1181.3920693993568,1538.0
train,Mass-Training_P_00044_RIGHT_MLO_1,Mass-Training_P_00044_RIGHT_MLO,2,ok,1,True,2333.0,2816.0,2061.0,2611.0,0.9144070249927627,2333,2816,2061,2611,6936.134365230799,7706,2760.0,3351.0,802.0,1172.0,4503.835962444544,6044.0,,,,,,
train,Mass-Training_P_00044_RIGHT_MLO_2,Mass-Training_P_00044_RIGHT_MLO,2,ok,2,True,2760.0,3351.0,802.0,1172.0,0.9123033828916182,2333,2816,2061,2611,6936.134365230799,7706,2760.0,3351.0,802.0,1172.0,4503.835962444544,6044.0,,,,,,
train,Mass-Training_P_00045_LEFT_CC_1,Mass-Training_P_00045_LEFT_CC,1,ok,1,True,2853.0,3122.0,2374.0,2682.0,0.865265760197775,2853,3122,2374,2682,1676.2735464572906,1819,,,,,,,,,,,,
train,Mass-Training_P_00045_LEFT_MLO_1,Mass-Training_P_00045_LEFT_MLO,1,ok,1,True,2337.0,2608.0,2280.0,2504.0,0.8383233532934131,2337,2608,2280,2504,1229.1675409078598,1388,,,,,,,,,,,,
train,Mass-Training_P_00046_RIGHT_MLO_1,Mass-Training_P_00046_RIGHT_MLO,1,ok,1,True,2346.0,2734.0,2034.0,2469.0,0.7656297191180912,2346,2734,2034,2469,3728.2932462394238,4453,,,,,,,,,,,,
